,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
519,You Give Love A Bad Name,0,223733,0.0771,0.5589999999999999,0.825,0.0,0,0.363,-10.725,0,0.0401,122.821,4,0.805
521,Nobody's Fool,0,287400,0.0478,0.3670000000000001,0.445,0.00284,9,0.199,-13.615,0,0.0286,67.197,4,0.149
539,Here I Go Again 87 - 2007 Remastered Version,0,270160,0.207,0.39,0.898,6.64e-05,7,0.217,-4.089,1,0.045,90.703,4,0.204
543,Jump,0,239560,0.0745,0.547,0.8220000000000001,0.00943,0,0.0645,-7.2010000000000005,1,0.0292,130.138,4,0.774
544,Rock the Night,0,247493,0.036000000000000004,0.562,0.965,0.0,4,0.326,-2.789,0,0.0613,105.305,4,0.39
546,Working for the Weekend,0,220706,0.027000000000000003,0.526,0.924,0.000728,7,0.598,-5.591,1,0.0391,147.28,4,0.7929999999999999
559,Addicted To That Rush,0,284973,0.0537,0.46,0.974,7.95e-06,2,0.329,-5.095,1,0.156,112.684,4,0.444
561,I Wanna Be Somebody,0,223533,0.00081,0.29600000000000004,0.83,0.0,1,0.263,-7.051,0,0.0505,164.12400000000005,4,0.478
563,Over The Mountain,0,271400,4.95e-05,0.463,0.926,0.000576,5,0.0868,-3.563,0,0.12,131.129,4,0.501
565,Armed And Ready - 2008 Remastered Version,0,248333,0.00388,0.33,0.963,0.007140000000000001,9,0.0793,-5.509,1,0.106,171.59,4,0.7340000000000001
583,Rock And Roll All Nite,0,168733,0.046,0.6559999999999999,0.931,0.0,1,0.0543,-5.827000000000001,1,0.0976,144.747,4,0.909
594,Detroit Rock City,0,215899,0.0442,0.546,0.91,5.6100000000000015e-05,5,0.263,-6.7360000000000015,1,0.061,90.58,4,0.458
602,I Was Made For Lovin' You,0,271240,0.213,0.768,0.852,7.45e-05,4,0.0723,-6.215,1,0.038,128.374,4,0.867
611,Wind Of Change,0,313226,0.297,0.453,0.5429999999999999,0.0,0,0.0928,-10.106,1,0.0366,151.362,4,0.282
634,"Say You, Say Me",0,241066,0.355,0.636,0.405,0.0,8,0.081,-11.113,1,0.0287,128.06799999999998,4,0.257
638,Careless Whisper,0,300093,0.14400000000000002,0.575,0.634,1.68e-06,2,0.314,-8.822000000000003,0,0.0348,153.217,4,0.79
642,Heaven,0,243666,0.0596,0.34,0.412,0.0,9,0.117,-13.727,0,0.0268,69.857,4,0.402
653,With Or Without You - Remastered,0,295520,0.000185,0.5379999999999999,0.4320000000000001,0.309,2,0.139,-11.882,1,0.0295,110.181,4,0.116
676,I Was Made For Lovin' You,0,271240,0.213,0.768,0.852,7.45e-05,4,0.0723,-6.215,1,0.038,128.374,4,0.867
683,Here I Go Again 87 - 2007 Remastered Version,0,270160,0.207,0.39,0.898,6.64e-05,7,0.217,-4.089,1,0.045,90.703,4,0.204
701,Stand - Remastered,0,192960,0.435,0.65,0.732,0.0,4,0.093,-10.042,1,0.0289,109.292,4,0.919
710,Tainted Love,0,162506,0.438,0.569,0.402,0.0,0,0.134,-10.151,1,0.0433,144.635,4,0.696
711,Dr Feelgood,0,282560,0.000766,0.536,0.959,0.0533,2,0.22,-5.126,1,0.076,111.012,4,0.39
715,Jessie's Girl,0,195933,0.113,0.7040000000000001,0.77,0.0,2,0.101,-8.843,1,0.0526,131.57,4,0.8390000000000001
721,Working for the Weekend,0,220706,0.027000000000000003,0.526,0.924,0.000728,7,0.598,-5.591,1,0.0391,147.28,4,0.7929999999999999
739,Real Wild Child (Wild One),0,218400,0.00182,0.5660000000000001,0.926,0.122,4,0.281,-7.099,1,0.0327,146.27100000000004,4,0.963
740,Rebel Yell,0,288533,0.000732,0.536,0.8690000000000001,0.000374,4,0.337,-4.91,0,0.0597,166.38299999999995,4,0.493
746,Don't Change,0,268200,5.93e-05,0.206,0.81,0.0644,9,0.0855,-6.492000000000001,1,0.0423,163.55200000000005,4,0.155
770,I Wanna Dance with Somebody (Who Loves Me),0,291293,0.207,0.7090000000000001,0.8240000000000001,0.000307,1,0.0888,-8.824,1,0.0453,118.814,4,0.867
789,In Your Eyes,0,329013,0.0623,0.636,0.7240000000000001,6.62e-06,11,0.0973,-7.3279999999999985,0,0.0367,89.319,4,0.632
807,(I've Had) The Time of My Life,0,289680,0.0476,0.6970000000000001,0.665,0.00665,6,0.0796,-12.907,0,0.0412,108.535,4,0.485
816,We Belong - Single Version,0,222320,0.415,0.705,0.59,0.0,5,0.271,-5.2010000000000005,1,0.0407,135.17600000000002,4,0.344
827,Working for the Weekend,0,220706,0.027000000000000003,0.526,0.924,0.000728,7,0.598,-5.591,1,0.0391,147.28,4,0.7929999999999999
831,Oh Sherrie,0,228800,0.312,0.5770000000000001,0.665,8.89e-05,5,0.138,-5.572,1,0.0285,101.807,4,0.305
864,U.N.I.T.Y.,0,251906,0.00561,0.659,0.738,0.0,4,0.319,-4.077,0,0.362,93.796,4,0.516
879,Baby Got Back,0,262826,0.00471,0.933,0.664,0.0,1,0.0908,-11.281,1,0.311,128.467,4,0.616
898,Knockin' Boots,0,233120,0.0877,0.941,0.6779999999999999,0.0,7,0.358,-8.193999999999999,1,0.287,101.399,4,0.625
912,I'll Be There For You/You're All I Need To Get By,0,307506,0.14400000000000002,0.6970000000000001,0.828,2.03e-06,1,0.334,-3.733,0,0.0963,95.052,4,0.555
916,Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),0,218186,0.00561,0.4,0.841,0.0,11,0.338,-5.3679999999999986,1,0.14800000000000002,91.162,4,0.62
920,Wonderwall,0,258906,0.00212,0.412,0.8490000000000001,0.0,2,0.13,-5.625,1,0.0361,174.428,4,0.486
926,Bitter Sweet Symphony,0,358426,0.0415,0.389,0.889,0.0,9,0.463,-6.546,1,0.0442,171.12099999999995,4,0.524
935,Don't Speak,0,263000,0.24,0.522,0.7070000000000001,2.04e-05,5,0.156,-7.113,0,0.0354,76.05,4,0.5720000000000001
937,Glycerine - Acoustic,0,212893,0.56,0.648,0.278,0.00728,11,0.122,-9.25,0,0.037000000000000005,118.827,4,0.303
940,1979,0,265893,0.0218,0.768,0.7440000000000001,0.7120000000000001,8,0.063,-11.267,1,0.0338,127.036,4,0.963
941,Losing My Religion,0,267733,0.0767,0.672,0.841,0.0,9,0.135,-5.992000000000001,0,0.0285,125.437,4,0.82
944,What It's Like,0,303133,0.0904,0.6779999999999999,0.556,0.0334,0,0.0866,-7.422999999999999,1,0.0281,85.15799999999999,4,0.405
953,Black Hole Sun,0,318040,0.000336,0.35600000000000004,0.7170000000000001,0.00012,6,0.0727,-8.488999999999999,1,0.0367,105.78,4,0.193
956,Santeria,0,183200,0.0223,0.6729999999999999,0.772,1.23e-06,1,0.141,-5.246,0,0.0427,90.356,4,0.585
967,Karma Police,0,264066,0.0626,0.36,0.505,9.22e-05,7,0.172,-9.129,1,0.026,74.807,4,0.317
968,Alive,0,341160,0.00636,0.325,0.83,9.86e-06,2,0.255,-7.615,1,0.0415,74.992,4,0.56
973,All Apologies,0,157733,0.91,0.743,0.0262,0.0241,4,0.0878,-27.691,1,0.0363,100.053,4,0.333
1013,What's My Age Again?,0,148573,0.0133,0.398,0.954,0.000218,6,0.0891,-7.372999999999998,1,0.0715,157.766,4,0.433
1017,High,0,273933,0.0328,0.471,0.7709999999999999,1.19e-06,2,0.0594,-6.1720000000000015,1,0.0365,160.958,4,0.221
1018,Who's Gonna Ride Your Wild Horses,0,316426,0.041,0.436,0.682,0.000155,7,0.0712,-10.598,1,0.0384,132.66299999999998,4,0.416
1025,Bitter Sweet Symphony,0,358426,0.0415,0.389,0.889,0.0,9,0.463,-6.546,1,0.0442,171.12099999999995,4,0.524
1036,Losing My Religion,0,267760,0.122,0.667,0.877,0.0,9,0.124,-4.541,0,0.0291,125.416,4,0.8109999999999999
1037,Unbelievable,0,209813,0.000341,0.637,0.8490000000000001,0.0386,1,0.141,-6.855,1,0.0362,104.074,4,0.936
1038,Little Black Backpack - Remastered,0,224939,0.000136,0.452,0.85,0.0,7,0.0988,-4.918,1,0.0503,118.1,4,0.324
1040,Come Out and Play,0,197800,0.0943,0.514,0.884,1.52e-06,7,0.0654,-3.765,1,0.151,158.262,4,0.898
1044,Hey Leonardo (She Likes Me For Me),0,208493,0.0437,0.637,0.846,0.0,1,0.105,-3.663,1,0.0346,103.119,4,0.634
1047,Cannonball,0,215573,0.00971,0.498,0.685,0.775,3,0.365,-11.795,1,0.0394,112.49,4,0.765
1049,Into Your Arms,0,164466,0.0271,0.48,0.8909999999999999,3.24e-06,2,0.185,-5.001,1,0.0332,123.961,4,0.662
1067,Glycerine,0,266493,0.0365,0.447,0.337,0.00124,5,0.0945,-11.402,1,0.0325,114.422,4,0.0827
1072,What I Got,0,171066,0.0172,0.795,0.706,0.000384,7,0.326,-7.494,1,0.101,95.593,4,0.623
1074,Kiss Me,0,204753,0.116,0.529,0.741,1.23e-06,3,0.0736,-5.6610000000000005,1,0.0268,100.004,4,0.455
1078,New Age Girl,0,199087,0.105,0.632,0.6459999999999999,0.0,2,0.0454,-7.2,1,0.0519,137.933,4,0.777
1097,Losing My Religion,0,268933,0.0943,0.7,0.6859999999999999,1.93e-06,9,0.0847,-10.338,0,0.0279,125.412,4,0.815
1100,Bitter Sweet Symphony,0,358426,0.0415,0.389,0.889,0.0,9,0.463,-6.546,1,0.0442,171.12099999999995,4,0.524
1101,Creep,0,235666,0.00563,0.532,0.344,0.0004730000000000001,7,0.115,-13.057,1,0.035,91.834,4,0.126
1102,Nothing Else Matters,0,388733,0.0505,0.5579999999999999,0.364,5.02e-06,4,0.0753,-11.258,0,0.0265,142.171,3,0.17
1103,The Kids Aren't Alright,0,180160,0.00594,0.527,0.941,2.89e-05,1,0.0641,-4.213,1,0.0377,99.636,4,0.7929999999999999
1105,Don't Speak,0,263000,0.24,0.522,0.7070000000000001,2.04e-05,5,0.156,-7.113,0,0.0354,76.05,4,0.5720000000000001
1107,Closing Time,0,273533,0.0204,0.481,0.865,1.24e-06,7,0.17,-5.497999999999998,1,0.0283,92.086,4,0.241
1113,November Rain,0,537506,0.0165,0.197,0.629,0.279,11,0.125,-9.291,1,0.03,79.495,4,0.221
1114,Santeria,0,183200,0.0223,0.6729999999999999,0.772,1.23e-06,1,0.141,-5.246,0,0.0427,90.356,4,0.585
1117,Alive,0,341160,0.00541,0.298,0.825,1.46e-05,2,0.44,-8.052999999999999,1,0.0408,75.592,4,0.54
1123,Bullet With Butterfly Wings,0,257706,5.01e-05,0.389,0.705,0.86,10,0.09,-10.331,0,0.0553,122.154,4,0.555
1127,Glycerine - Remastered,0,266493,0.0325,0.4270000000000001,0.337,0.00215,5,0.0872,-11.38,1,0.0324,114.075,4,0.0849
1129,Celebrity Skin,0,162493,1.35e-05,0.443,0.8959999999999999,0.000101,9,0.369,-6.1629999999999985,1,0.0457,134.145,4,0.733
1143,Everywhere,0,222733,0.218,0.69,0.54,0.00657,4,0.115,-10.515999999999998,1,0.0317,114.846,4,0.764
1159,Drift Away - Single Version,0,230893,0.336,0.469,0.415,0.0,11,0.463,-9.509,1,0.0404,76.53399999999998,4,0.611
1168,22,0,232120,0.00274,0.662,0.736,0.0008439999999999999,7,0.0464,-6.511,1,0.0374,104.003,4,0.674
1171,L.I.F.E.G.O.E.S.O.N.,0,226946,0.205,0.608,0.745,0.0,4,0.342,-5.82,1,0.0354,82.00299999999999,4,0.595
1178,Three Little Birds,0,180266,0.0111,0.8140000000000001,0.482,1.57e-06,9,0.0476,-10.493,1,0.0588,148.404,4,0.615
1194,Everyday Is A Winding Road,0,256826,0.0393,0.598,0.6679999999999999,4.68e-05,6,0.219,-8.312000000000001,1,0.0408,112.928,4,0.733
1233,Transformer (feat. Nicki Minaj),0,196333,0.00151,0.753,0.616,7.1e-06,2,0.29100000000000004,-7.34,1,0.165,156.83,4,0.287
1252,Praise,0,165179,0.00419,0.941,0.634,0.00103,1,0.139,-8.221,1,0.215,113.323,4,0.276
1262,The Code,0,227000,0.0593,0.53,0.613,0.0,1,0.0924,-6.29,1,0.294,157.817,5,0.542
1271,Besame Mucho,0,181960,0.701,0.7070000000000001,0.408,0.0,5,0.105,-12.776,0,0.0366,126.399,4,0.843
1272,No Me Platiques Mas,0,192967,0.695,0.245,0.355,0.0,8,0.125,-13.039,1,0.0427,85.56,4,0.398
1273,Payaso,0,196226,0.764,0.765,0.498,1.39e-05,9,0.139,-7.292999999999998,1,0.028,92.024,4,0.51
1279,De Niña a Mujer,0,185826,0.219,0.482,0.33,3.64e-05,0,0.236,-11.671,1,0.0349,105.027,4,0.201
1280,"Grande, Grande, Grande",0,249773,0.596,0.481,0.317,0.0,7,0.0855,-12.757,1,0.0385,91.546,4,0.61
1284,Porque Yo Te Amo,0,228462,0.16699999999999998,0.377,0.557,0.0,4,0.318,-6.773,0,0.0311,82.58200000000002,4,0.462
1285,Cien años,0,202640,0.802,0.612,0.183,3.38e-06,7,0.112,-13.277,1,0.0329,106.412,4,0.524
1291,Beso A Beso... Dulcemente,0,252213,0.578,0.416,0.499,0.0,1,0.163,-6.7360000000000015,1,0.03,126.918,4,0.439
1295,Me Dediqué a Perderte,0,232893,0.487,0.647,0.451,2.45e-06,8,0.105,-9.075,1,0.0748,147.847,4,0.48
1297,El Reloj,0,157186,0.8540000000000001,0.821,0.348,0.0,3,0.0854,-8.897,0,0.0433,112.053,4,0.7140000000000001
1302,Mujeres Divinas,0,189720,0.584,0.513,0.297,0.000107,5,0.327,-9.57,0,0.0605,141.553,3,0.62
1303,Bachata Rosa,0,242200,0.79,0.6579999999999999,0.414,2.64e-06,9,0.199,-8.522,1,0.0311,111.904,4,0.51
1309,Procuro Olvidarte,0,242133,0.29,0.603,0.7979999999999999,0.00147,11,0.129,-6.337999999999999,0,0.0323,79.999,4,0.727
1318,No Sé Tú,0,229666,0.7809999999999999,0.617,0.502,1e-05,7,0.193,-8.271,1,0.0388,80.959,4,0.107
1320,Bella Señora,0,281293,0.301,0.872,0.773,0.0,1,0.222,-10.666,1,0.036000000000000004,120.966,4,0.96
1321,Con los Pies Sobre la Tierra,0,146866,0.8909999999999999,0.565,0.309,1.97e-05,2,0.0952,-7.7360000000000015,1,0.0354,103.883,3,0.445
1327,Jurame,0,201373,0.361,0.312,0.532,0.0,2,0.158,-6.6770000000000005,1,0.0344,89.521,4,0.217
1330,Insoportablemente Bella,0,219293,0.309,0.315,0.37,4.98e-05,9,0.0642,-10.912,0,0.0307,66.547,4,0.256
1334,Que Bueno Baila Usted,0,196933,0.855,0.485,0.6509999999999999,0.0152,5,0.0958,-9.712,1,0.107,172.23,4,0.588
1336,Nada Personal,0,187653,0.843,0.487,0.408,0.0,8,0.105,-9.655,1,0.0436,78.82600000000002,4,0.35100000000000003
1338,Contigo Aprendí,0,121306,0.7,0.449,0.379,0.000271,10,0.117,-8.623,1,0.0387,86.594,5,0.455
1339,El Noa Noa,0,342080,0.055,0.708,0.917,0.0,7,0.0305,-3.913,1,0.0951,94.92,4,0.794
1342,Cuando Vuelva a Tu Lado,0,158533,0.721,0.711,0.398,2.86e-06,2,0.336,-7.85,1,0.033,100.302,4,0.623
1344,"Azucar, Azucar",0,180207,0.22,0.7759999999999999,0.29600000000000004,0.0,0,0.087,-18.156,1,0.0386,124.721,4,0.961
1348,Noche de Ronda,0,196560,0.906,0.42,0.19,5.02e-06,9,0.17800000000000002,-15.056,1,0.045,131.547,3,0.293
1362,Rather Be,0,247816,0.8370000000000001,0.534,0.332,0.0,11,0.0997,-7.44,1,0.0374,110.771,4,0.509
1375,Better Together,0,200706,0.649,0.79,0.3,0.0,5,0.14,-10.597,1,0.0622,110.187,4,0.49
1377,We Can't Stop (feat. Bea Miller),0,222146,0.674,0.705,0.34700000000000003,0.0,2,0.12,-8.249,1,0.0301,80.057,4,0.36
1385,Eventually,0,226346,0.603,0.6579999999999999,0.394,5.65e-06,1,0.17600000000000002,-7.537000000000001,1,0.025,78.926,3,0.232
1391,Chains,0,200218,0.944,0.336,0.331,2.9e-06,4,0.0732,-8.102,0,0.0349,88.61200000000002,3,0.189
1393,Titanium,0,227562,0.194,0.804,0.547,0.0,4,0.0888,-7.769,0,0.0665,126.013,4,0.507
1408,Strangers,0,194755,0.609,0.618,0.474,1.28e-05,2,0.126,-5.1789999999999985,1,0.0321,121.762,5,0.321
1416,Mr. Brightside,0,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002
1420,7 Years,0,188045,0.8590000000000001,0.7240000000000001,0.39,0.0,10,0.0975,-7.073,1,0.0365,119.838,4,0.36
1425,"Wicked Game - Live At Killkenny Arts Festival, Ireland/2011",0,271800,0.872,0.545,0.181,0.0035,11,0.6890000000000001,-14.698,1,0.0362,113.221,4,0.16
1445,Out of the Woods (Acoustic) [feat. Jake Coco],0,229845,0.324,0.42,0.477,0.0,0,0.135,-11.12,1,0.0821,181.176,4,0.412
1456,Latch - Acoustic,0,221049,0.977,0.389,0.294,0.00393,8,0.107,-5.4289999999999985,1,0.0277,88.63600000000002,4,0.243
1467,September Song - Guitar Acoustic,0,212152,0.359,0.41,0.428,0.0,0,0.138,-7.927,0,0.0329,88.361,4,0.526
1469,Hold My Girl,0,211763,0.597,0.614,0.527,0.0,10,0.11,-6.374,1,0.0302,121.941,4,0.354
1471,After Rain,0,294000,0.505,0.48,0.418,0.0041600000000000005,11,0.11,-9.622,0,0.0312,132.404,4,0.319
1495,Paper Thin - Live From Studio,0,196072,0.8959999999999999,0.455,0.113,0.0,1,0.0978,-12.887,1,0.0466,176.13099999999997,4,0.373
1496,Moving Mountains,0,253400,0.904,0.5920000000000001,0.206,6.09e-05,0,0.121,-12.026,0,0.0274,93.934,4,0.198
1498,Concrete Jungle - Acoustic,0,160345,0.7609999999999999,0.589,0.467,0.0,6,0.0847,-8.179,1,0.031,165.908,4,0.5710000000000001
1499,Where's My Love,0,202106,0.853,0.598,0.343,0.0219,0,0.123,-11.04,0,0.025,103.984,4,0.419
1502,Jungle,0,315598,0.269,0.59,0.6970000000000001,9.86e-05,1,0.0881,-5.877000000000002,0,0.0291,146.059,4,0.4970000000000001
1505,Sleep On The Floor,0,211851,0.298,0.391,0.442,0.0,0,0.13,-8.076,1,0.0347,142.56,4,0.246
1510,Acoustic,0,172199,0.785,0.88,0.245,3.19e-05,9,0.0979,-10.245,1,0.446,76.006,4,0.638
1511,Catie Rae,0,132453,0.7090000000000001,0.344,0.46,0.0,10,0.117,-9.399,1,0.0319,84.469,4,0.528
1515,Boston,0,273666,0.191,0.556,0.448,0.00116,4,0.383,-10.921,1,0.0387,116.292,4,0.125
1525,Don't Be A Fool - MTV Unplugged,0,337840,0.752,0.307,0.353,0.0,11,0.163,-9.965,0,0.0462,174.92700000000005,3,0.199
1526,The Other (Stripped),0,182000,0.816,0.376,0.371,0.0,7,0.337,-6.58,1,0.0365,90.514,4,0.395
1531,Yellow Bird,0,222842,0.6829999999999999,0.485,0.353,0.396,6,0.106,-11.212,0,0.0296,114.064,4,0.0706
1543,Ol' Sweet Day,0,178053,0.603,0.393,0.5579999999999999,4.85e-05,3,0.108,-9.429,1,0.0475,112.64,4,0.336
1547,Reasons - Acoustic,0,184840,0.8140000000000001,0.446,0.388,0.0,4,0.119,-6.2010000000000005,1,0.0405,175.15400000000002,4,0.581
1589,You And Me,0,195493,0.1,0.461,0.446,0.0,7,0.16899999999999998,-7.7029999999999985,1,0.0267,139.868,3,0.375
1602,Come And Get It,0,181426,0.000157,0.569,0.986,5.32e-06,7,0.3670000000000001,-4.027,1,0.0671,108.001,4,0.403
1603,Drop Dead Cynical,0,197853,4.13e-05,0.521,0.913,0.00023,7,0.0961,-3.948,1,0.0819,140.059,4,0.542
1604,Blood,0,189120,4.16e-05,0.475,0.971,3.66e-05,4,0.313,-2.755,0,0.0824,90.52,4,0.348
1609,Here Comes The Boom,0,251560,0.00214,0.59,0.969,0.132,7,0.952,-3.3960000000000004,1,0.0817,105.022,4,0.223
1613,1234,0,202907,5.320000000000001e-05,0.5579999999999999,0.953,0.000375,7,0.062,-4.705,1,0.0288,95.0,4,0.75
1619,The Devil's Bleeding Crown,0,238653,1.85e-05,0.55,0.917,0.214,7,0.0333,-4.575,1,0.0378,109.552,3,0.245
1627,The Remedy,0,243913,3.26e-06,0.35600000000000004,0.995,0.000196,4,0.403,-3.366,0,0.172,183.985,4,0.16699999999999998
1629,Over It,0,227864,7.69e-05,0.374,0.971,0.0,11,0.322,-4.284,0,0.0697,97.625,4,0.701
1631,Infra-Red,0,230933,0.00115,0.568,0.907,0.0,5,0.0982,-4.641,0,0.0488,112.037,4,0.337
1634,DEVIL,0,207986,0.00039,0.354,0.942,6.36e-06,7,0.431,-3.245,1,0.237,119.992,4,0.242
1642,That's My Jam,0,196051,0.0043,0.585,0.928,0.0,5,0.275,-4.939,1,0.0607,104.007,4,0.547
1645,The Void,0,233079,0.000432,0.5710000000000001,0.954,0.0014,2,0.058,-3.399,0,0.0464,123.051,4,0.53
1646,Hardwired,0,189347,1.02e-05,0.274,0.99,0.0052,8,0.21600000000000005,-3.329,0,0.0465,93.515,4,0.5329999999999999
1651,On My Teeth,0,190840,4.42e-05,0.415,0.945,0.00107,1,0.205,-4.209,1,0.0745,165.03099999999995,4,0.139
1657,TriggerPulse,0,253146,6.159999999999999e-05,0.344,0.903,0.0322,8,0.168,-5.018,1,0.11,175.158,4,0.218
1658,Don't Need You - Edit,0,267997,3.01e-05,0.212,0.97,2.83e-06,7,0.0682,-4.68,1,0.132,152.577,4,0.349
1662,God Damn,0,221973,0.000597,0.5,0.947,0.00223,7,0.125,-5.75,0,0.122,120.021,4,0.267
1700,Monini,0,319920,0.00176,0.809,0.573,0.329,2,0.0628,-6.939,0,0.0594,123.961,4,0.71
1717,Spy Candy,0,199699,0.0439,0.7070000000000001,0.443,6.32e-06,1,0.506,-7.401,1,0.0314,94.001,4,0.293
1721,Jezebel (Main Mix) (feat. Oskido),0,459040,0.000173,0.799,0.752,0.119,0,0.0826,-11.465,1,0.0785,126.018,4,0.613
1723,Wololo,0,390373,0.000294,0.895,0.7509999999999999,0.0032,1,0.0524,-6.372999999999998,0,0.0588,126.053,4,0.768
1728,Confession,0,212703,0.242,0.883,0.523,4.84e-05,7,0.16699999999999998,-5.954,1,0.0852,105.031,4,0.732
1733,Sunrise,0,203242,0.0154,0.684,0.852,6.51e-05,11,0.251,-5.4110000000000005,1,0.141,107.9,4,0.687
1737,Prayer,0,216111,0.14,0.728,0.823,0.000167,1,0.318,-6.015,0,0.0405,119.931,4,0.795
1745,Anticipation,0,230160,0.31,0.5489999999999999,0.562,0.0,10,0.105,-10.664,0,0.434,83.463,4,0.861
1746,Shakara (Oloje),0,805746,0.263,0.634,0.713,0.0468,10,0.159,-6.619,0,0.0453,120.286,4,0.593
1751,One Leg Up,0,199835,0.415,0.882,0.565,0.000322,1,0.369,-6.944,1,0.0468,123.943,4,0.911
1752,Labyrinth,0,466451,0.00024,0.765,0.948,0.939,1,0.0614,-8.573,1,0.0455,124.017,4,0.8109999999999999
